Name,Current Price_x,Current Price_y,Predicted Price,BSE Code,NSE Code,Invest,Unit
Harshdeep,71.32,62.0,72.24792889880172,544105.0,,20000.0,322
Shine Fashions,440.0,177.0,438.6316701860711,543244.0,,20000.0,112
Emerald Finance,71.4,31.2,75.20628228173125,538882.0,,20000.0,641
Sudarshan Pharma,179.6,81.3,187.9843432654869,543828.0,,20000.0,246
Integ. Proteins,32.35,15.83,35.36436566903359,519606.0,,20000.0,1263
New Light Appare,39.24,20.0,44.687452550279,540243.0,,20000.0,1000
Mercury Trade Li,26.39,16.5,36.6483823196489,512415.0,,20000.0,1212
Ashika Credit,177.75,83.79,184.95247883993102,543766.0,,20000.0,238
Stellant Secu.,31.97,17.49,37.49349316905899,526071.0,,20000.0,1143
Vaswani Industri,56.23,34.9,73.2046808520134,533576.0,VASWANI,20000.0,573
Pritika Engineer,105.6,57.25,119.9176580646233,,PRITIKA,20000.0,349
Rathi Steel,75.9,48.49,101.08006925716448,504903.0,,20000.0,412
Libord Finance,28.22,14.8,30.617461731525196,511593.0,,20000.0,1351
S. V. J. Enterp.,53.81,27.45,56.54890195312841,543799.0,,20000.0,728
Quality RO Indu.,197.75,103.51,211.093414391795,543460.0,,20000.0,193
Anuroop Packagin,39.96,23.29,47.003203774854846,542865.0,,20000.0,858
Tarini Internat.,48.43,25.12,50.53630360403128,538496.0,,20000.0,796
Globe Intl. Car.,74.8,43.05,85.93254778381724,538385.0,GICL,20000.0,464
Trishakti Indus,70.41,43.6,85.53641860035371,531279.0,,20000.0,458
Shahi Shipping,27.38,17.12,33.23406747465081,526508.0,,20000.0,1168
Axita Cotton,26.43,21.22,40.624130139040204,542285.0,AXITA,20000.0,942
Stratmont Indus.,54.78,38.25,72.77165867118038,530495.0,,20000.0,522
Chandrima Mercan,33.32,18.54,35.15085687039438,540829.0,,20000.0,1078
K K Fincorp,52.25,32.46,60.143230408454905,503669.0,,20000.0,616
Lotus Chocolate,1258.05,592.5,1102.0570122710799,523475.0,,20000.0,33
JFL Life,67.75,41.7,77.62540398189014,,JFLLIFE,20000.0,479
Suzlon Energy,71.35,52.86,97.13363858754691,532667.0,SUZLON,20000.0,378
Marine Electric.,282.85,160.4,294.27667830182463,,MARINE,20000.0,124
Platinum Industr,322.4,202.05,367.49435425510933,544134.0,PLATIND,20000.0,98
Sylvan Plyboard,113.9,66.0,120.15577628295082,,SYLVANPLY,20000.0,303
Shantidoot Infra,288.2,156.0,283.3837775768602,543598.0,,20000.0,128
Epic Energy,24.7,15.45,28.09615689310787,530407.0,,20000.0,1294
Vuenow Infratech,61.97,38.64,69.45026563525698,531997.0,,20000.0,517
Kabsons Industri,40.31,24.15,43.15123006067166,524675.0,,20000.0,828
RDB Realty,245.55,150.0,266.6238400306289,533285.0,,20000.0,133
Edvenswa Enter,95.89,58.2,102.54263709619984,517170.0,,20000.0,343
Protean eGov,1966.6,1191.2,2081.2277694284285,544021.0,,20000.0,16
NTC Industries,233.05,132.05,229.47492819064612,526723.0,,20000.0,151
Vishal Fabrics,36.67,22.7,39.43765669920123,538598.0,VISHAL,20000.0,881
Spright Agro,80.92,50.42,87.12347554637846,531205.0,,20000.0,396
Goldkart Jewels,160.8,99.1,170.710518716762,,GOLDKART,20000.0,201
Mehai Technology,42.1,27.8,47.96431616574824,540730.0,,20000.0,719
Kemistar Corp.,58.32,42.45,73.05407111717082,531163.0,,20000.0,471
Sera Investments,26.02,18.22,31.250641915693535,512399.0,,20000.0,1097
HRH Next,49.0,32.0,55.024826050036765,,HRHNEXT,20000.0,625
PCBL Ltd,376.9,256.4,439.1944824044884,506590.0,PCBL,20000.0,78
Power & Instrum.,117.17,76.01,129.88925972891474,543912.0,PIGL,20000.0,263
SRM Contractors,269.5,179.55,305.27440427313144,544158.0,SRM,20000.0,111
Vintron Info.,51.31,34.65,52.391433920961425,517393.0,,20000.0,577
Saptarishi Agro,43.86,31.99,53.89449098146588,519238.0,,20000.0,625
